id,repeat,method,dataset,apc,concurrency,number,max_tokens,request_max_tokens,output_limit_policy,kv_dtype,kv_cache_memory_bytes_requested,kv_pool_budget_source,gpu_memory_utilization_requested,block_size,max_model_len,max_num_seqs,max_num_batched_tokens,enable_prefix_caching,cache_start_protocol,evalscope_random_prefix_length,independent_prefix_cache_bytes,prefix_capacity_control,input_variant,shared_prefix_file,shared_prefix_sha256,thinking,temperature,top_p,top_k,seed_base,ignore_eos,min_tokens,stop,eager,status,attempt_path,error,requests_expected,requests_recorded,succeeded,failed,unmatched_rows,duplicate_rows,request_window_s,rps,output_tok_s,length_capped,length_capped_fraction,length_limit_terminations,length_limit_fraction,natural_stops,missing_finish_reason,token_usage_missing,missing_final_answer,request_multiset_sha256,outputs_jsonl,latency_population,quantile_method,e2e_s_n,e2e_s_avg,e2e_s_p50,e2e_s_p95,e2e_s_p99,e2e_s_max,ttft_ms_n,ttft_ms_avg,ttft_ms_p50,ttft_ms_p95,ttft_ms_p99,ttft_ms_max,tpot_ms_n,tpot_ms_avg,tpot_ms_p50,tpot_ms_p95,tpot_ms_p99,tpot_ms_max,input_tokens_n,input_tokens_avg,input_tokens_p50,input_tokens_p95,input_tokens_p99,input_tokens_max,output_tokens_n,output_tokens_avg,output_tokens_p50,output_tokens_p95,output_tokens_p99,output_tokens_max,measurement_complete,native_prefix_queries_before,native_prefix_hits_before,native_prefix_queries_after,native_prefix_hits_after,preemptions_delta,prefix_hit_ratio_source,telemetry_samples,telemetry_scope,sampled_memory_used_mib_max,sampled_memory_used_mib_avg,sampled_gpu_util_pct_max,sampled_gpu_util_pct_avg,sampled_temperature_c_max,sampled_temperature_c_avg,sampled_power_w_max,sampled_power_w_avg,sampled_sm_clock_mhz_max,sampled_sm_clock_mhz_avg,sampled_memory_clock_mhz_max,sampled_memory_clock_mhz_avg,sampled_kv_usage_fraction_max,sampled_requests_waiting_max,sampled_requests_running_max,kv_capacity_tokens_single_gpu_log,available_kv_memory_native_value,available_kv_memory_native_unit,num_gpu_blocks_log,prefix_native_last_percent,prefix_native_last_is_run_aggregate,server_folder,native_prefix_stats_path,cache_config_path,request_manifest_path,shared_prefix_tokens_local,pilot_eligible
r01_fp16_humaneval_apc0_C8,1,fp16,humaneval,0,8,32,,,server_context_window_only,auto,,gpu_memory_utilization,0.85,128,32768,16,1024,False,APC-off,,,shared_vllm_KV_pool_no_independent_quota,native-evalscope-prompt,,,True,0.6,0.95,20,20260918,False,,,False,ok,/home/wanglin/kvbench-3090-cu126/results/real/pipeline02_unbounded/pilot/points/r01_fp16_humaneval_apc0_C8/attempt001,,32,32,32,0,0,0,103.24655847623944,0.30993769160222706,516.0171998591203,14,0.4375,14,0.4375,18,0,32,14,8a63ffb6b11972a9d3eb25ffc8f3d5bf1ab462a293970452619654e016ccb1f7,/home/wanglin/kvbench-3090-cu126/results/real/pipeline02_unbounded/pilot/points/r01_fp16_humaneval_apc0_C8/attempt001/requests.jsonl,successful measured requests,nearest-rank; censored length-cap samples retained,32,23.228367921430618,26.48617340810597,28.80628171749413,28.934121316298842,28.934121316298842,32,123.23401775211096,94.59036961197853,223.30133616924286,235.60336604714394,235.60336604714394,32,13.886122807268938,13.940648458312067,14.100576378504542,14.324398470154808,14.324398470154808,32,182.375,159.0,344.0,355.0,355.0,32,1664.90625,1874.0,2048.0,2048.0,2048.0,True,0.0,0.0,0.0,0.0,0.0,vLLM log lines; no client-side prompt-similarity or ratio estimate,56,"measured EvalScope CLI window; includes client setup/report, excludes explicit warmup",21077.0,21074.964285714286,100.0,91.16071428571429,64.0,60.75,349.88,329.77196428571426,1905.0,1850.0892857142858,9501.0,9501.0,0.1428571428571429,0.0,8.0,89728,12.34,GiB,,0.0,False,/home/wanglin/kvbench-3090-cu126/results/real/pipeline02_unbounded/pilot/servers/1789870697879136884_1_fp16,/home/wanglin/kvbench-3090-cu126/results/real/pipeline02_unbounded/pilot/points/r01_fp16_humaneval_apc0_C8/attempt001/native_prefix_stats.json,/home/wanglin/kvbench-3090-cu126/results/real/pipeline02_unbounded/pilot/points/r01_fp16_humaneval_apc0_C8/attempt001/server_capacity.json,/home/wanglin/kvbench-3090-cu126/results/real/pipeline02_unbounded/pilot/points/r01_fp16_humaneval_apc0_C8/attempt001/measure.manifest.json,,False
r01_fp16_math_500_apc0_C8,1,fp16,math_500,0,8,32,,,server_context_window_only,auto,,gpu_memory_utilization,0.85,128,32768,16,1024,False,APC-off,,,shared_vllm_KV_pool_no_independent_quota,native-evalscope-prompt,,,True,0.6,0.95,20,20260918,False,,,False,ok,/home/wanglin/kvbench-3090-cu126/results/real/pipeline02_unbounded/pilot/points/r01_fp16_math_500_apc0_C8/attempt001,,32,32,32,0,0,0,114.80067841894925,0.27874399734137817,557.9061106787684,25,0.78125,25,0.78125,7,0,32,20,daf827f87f37ed03562b4c623d7468c531662e534aacbaec6068115e868dee20,/home/wanglin/kvbench-3090-cu126/results/real/pipeline02_unbounded/pilot/points/r01_fp16_math_500_apc0_C8/attempt001/requests.jsonl,successful measured requests,nearest-rank; censored length-cap samples retained,32,27.949739802337717,28.60446478240192,28.764592675492167,28.765243597328663,28.765243597328663,32,155.6142687331885,163.1490644067526,232.31622017920017,268.6411403119564,268.6411403119564,32,13.890458334557824,13.894145441131005,13.939624365635716,13.939929107244756,13.939929107244756,32,85.125,66.0,202.0,338.0,338.0,32,2001.5,2048.0,2048.0,2048.0,2048.0,True,0.0,0.0,0.0,0.0,0.0,vLLM log lines; no client-side prompt-similarity or ratio estimate,62,"measured EvalScope CLI window; includes client setup/report, excludes explicit warmup",21039.0,21009.74193548387,100.0,91.93548387096774,62.0,57.903225806451616,349.8,331.2332258064516,1920.0,1860.483870967742,9501.0,9501.0,0.18285714285714283,0.0,8.0,89728,12.34,GiB,,0.0,False,/home/wanglin/kvbench-3090-cu126/results/real/pipeline02_unbounded/pilot/servers/1789870697879136884_1_fp16,/home/wanglin/kvbench-3090-cu126/results/real/pipeline02_unbounded/pilot/points/r01_fp16_math_500_apc0_C8/attempt001/native_prefix_stats.json,/home/wanglin/kvbench-3090-cu126/results/real/pipeline02_unbounded/pilot/points/r01_fp16_math_500_apc0_C8/attempt001/server_capacity.json,/home/wanglin/kvbench-3090-cu126/results/real/pipeline02_unbounded/pilot/points/r01_fp16_math_500_apc0_C8/attempt001/measure.manifest.json,,False
r01_kvarn_humaneval_apc0_C8,1,kvarn,humaneval,0,8,32,,,server_context_window_only,kvarn_k4v2_g128,,gpu_memory_utilization,0.85,128,32768,16,1024,False,APC-off,,,shared_vllm_KV_pool_no_independent_quota,native-evalscope-prompt,,,True,0.6,0.95,20,20260918,False,,,False,ok,/home/wanglin/kvbench-3090-cu126/results/real/pipeline02_unbounded/pilot/points/r01_kvarn_humaneval_apc0_C8/attempt001,,32,32,32,0,0,0,135.13763082772493,0.23679562682872532,395.76689092752235,18,0.5625,18,0.5625,14,0,32,17,8a63ffb6b11972a9d3eb25ffc8f3d5bf1ab462a293970452619654e016ccb1f7,/home/wanglin/kvbench-3090-cu126/results/real/pipeline02_unbounded/pilot/points/r01_kvarn_humaneval_apc0_C8/attempt001/requests.jsonl,successful measured requests,nearest-rank; censored length-cap samples retained,32,31.63975284312619,37.53144923783839,40.704951379448175,41.00822643190622,41.00822643190622,32,511.03076461004093,209.5972876995802,2142.321465536952,2150.328563526273,2150.328563526273,32,18.59750696769757,18.652913264810135,20.278212506710194,20.325913515781316,20.325913515781316,32,182.375,159.0,344.0,355.0,355.0,32,1671.34375,2048.0,2048.0,2048.0,2048.0,True,0.0,0.0,0.0,0.0,0.0,vLLM log lines; no client-side prompt-similarity or ratio estimate,72,"measured EvalScope CLI window; includes client setup/report, excludes explicit warmup",21177.0,21174.88888888889,98.0,76.31944444444444,62.0,58.97222222222222,345.88,300.52486111111114,1935.0,1896.875,9501.0,9501.0,0.038461538461538436,0.0,8.0,359552,10.42,GiB,,0.0,False,/home/wanglin/kvbench-3090-cu126/results/real/pipeline02_unbounded/pilot/servers/1789871513070054550_3_kvarn,/home/wanglin/kvbench-3090-cu126/results/real/pipeline02_unbounded/pilot/points/r01_kvarn_humaneval_apc0_C8/attempt001/native_prefix_stats.json,/home/wanglin/kvbench-3090-cu126/results/real/pipeline02_unbounded/pilot/points/r01_kvarn_humaneval_apc0_C8/attempt001/server_capacity.json,/home/wanglin/kvbench-3090-cu126/results/real/pipeline02_unbounded/pilot/points/r01_kvarn_humaneval_apc0_C8/attempt001/measure.manifest.json,,False
r01_kvarn_math_500_apc0_C8,1,kvarn,math_500,0,8,32,,,server_context_window_only,kvarn_k4v2_g128,,gpu_memory_utilization,0.85,128,32768,16,1024,False,APC-off,,,shared_vllm_KV_pool_no_independent_quota,native-evalscope-prompt,,,True,0.6,0.95,20,20260918,False,,,False,ok,/home/wanglin/kvbench-3090-cu126/results/real/pipeline02_unbounded/pilot/points/r01_kvarn_math_500_apc0_C8/attempt001,,32,32,32,0,0,0,148.99575713463128,0.21477121641178734,430.5558845010178,25,0.78125,25,0.78125,7,0,32,22,daf827f87f37ed03562b4c623d7468c531662e534aacbaec6068115e868dee20,/home/wanglin/kvbench-3090-cu126/results/real/pipeline02_unbounded/pilot/points/r01_kvarn_math_500_apc0_C8/attempt001/requests.jsonl,successful measured requests,nearest-rank; censored length-cap samples retained,32,36.4219634499168,36.86080561205745,37.88466635532677,37.96009952016175,37.96009952016175,32,226.06271470431238,221.11237235367298,312.1523316949606,368.074432015419,368.074432015419,32,18.0645672281828,18.07524371315056,18.37527810158704,18.37530363811536,18.37530363811536,32,85.125,66.0,202.0,338.0,338.0,32,2004.71875,2048.0,2048.0,2048.0,2048.0,True,0.0,0.0,0.0,0.0,0.0,vLLM log lines; no client-side prompt-similarity or ratio estimate,79,"measured EvalScope CLI window; includes client setup/report, excludes explicit warmup",21139.0,21118.316455696204,97.0,76.13924050632912,61.0,58.20253164556962,350.02,300.9327848101266,1935.0,1896.4556962025317,9501.0,9501.0,0.047364672364672344,0.0,8.0,359552,10.42,GiB,,0.0,False,/home/wanglin/kvbench-3090-cu126/results/real/pipeline02_unbounded/pilot/servers/1789871513070054550_3_kvarn,/home/wanglin/kvbench-3090-cu126/results/real/pipeline02_unbounded/pilot/points/r01_kvarn_math_500_apc0_C8/attempt001/native_prefix_stats.json,/home/wanglin/kvbench-3090-cu126/results/real/pipeline02_unbounded/pilot/points/r01_kvarn_math_500_apc0_C8/attempt001/server_capacity.json,/home/wanglin/kvbench-3090-cu126/results/real/pipeline02_unbounded/pilot/points/r01_kvarn_math_500_apc0_C8/attempt001/measure.manifest.json,,False
r01_tq4_humaneval_apc0_C8,1,tq4,humaneval,0,8,32,,,server_context_window_only,turboquant_4bit_nc,,gpu_memory_utilization,0.85,128,32768,16,1024,False,APC-off,,,shared_vllm_KV_pool_no_independent_quota,native-evalscope-prompt,,,True,0.6,0.95,20,20260918,False,,,False,ok,/home/wanglin/kvbench-3090-cu126/results/real/pipeline02_unbounded/pilot/points/r01_tq4_humaneval_apc0_C8/attempt001,,32,32,32,0,0,0,132.18530960008502,0.24208438968606402,416.1657612818771,18,0.5625,18,0.5625,14,0,32,15,8a63ffb6b11972a9d3eb25ffc8f3d5bf1ab462a293970452619654e016ccb1f7,/home/wanglin/kvbench-3090-cu126/results/real/pipeline02_unbounded/pilot/points/r01_tq4_humaneval_apc0_C8/attempt001/requests.jsonl,successful measured requests,nearest-rank; censored length-cap samples retained,32,29.388714443542995,34.69763926975429,35.69326939806342,35.717368960380554,35.717368960380554,32,268.6785620171577,131.16015121340752,816.5905643254519,842.4804285168648,842.4804285168648,32,16.89805950782204,16.926726109796245,17.875432830032498,18.054325515643146,18.054325515643146,32,182.375,159.0,344.0,355.0,355.0,32,1719.09375,2048.0,2048.0,2048.0,2048.0,True,0.0,0.0,0.0,0.0,0.0,vLLM log lines; no client-side prompt-similarity or ratio estimate,71,"measured EvalScope CLI window; includes client setup/report, excludes explicit warmup",21089.0,21086.859154929578,100.0,92.85915492957747,65.0,62.098591549295776,349.73,332.3459154929578,1920.0,1824.5070422535211,9501.0,9501.0,0.05980392156862746,0.0,8.0,261248,12.34,GiB,,0.0,False,/home/wanglin/kvbench-3090-cu126/results/real/pipeline02_unbounded/pilot/servers/1789871076582292651_2_tq4,/home/wanglin/kvbench-3090-cu126/results/real/pipeline02_unbounded/pilot/points/r01_tq4_humaneval_apc0_C8/attempt001/native_prefix_stats.json,/home/wanglin/kvbench-3090-cu126/results/real/pipeline02_unbounded/pilot/points/r01_tq4_humaneval_apc0_C8/attempt001/server_capacity.json,/home/wanglin/kvbench-3090-cu126/results/real/pipeline02_unbounded/pilot/points/r01_tq4_humaneval_apc0_C8/attempt001/measure.manifest.json,,False
r01_tq4_math_500_apc0_C8,1,tq4,math_500,0,8,32,,,server_context_window_only,turboquant_4bit_nc,,gpu_memory_utilization,0.85,128,32768,16,1024,False,APC-off,,,shared_vllm_KV_pool_no_independent_quota,native-evalscope-prompt,,,True,0.6,0.95,20,20260918,False,,,False,ok,/home/wanglin/kvbench-3090-cu126/results/real/pipeline02_unbounded/pilot/points/r01_tq4_math_500_apc0_C8/attempt001,,32,32,32,0,0,0,137.85507898963988,0.23212782753114866,456.5374047968866,26,0.8125,26,0.8125,6,0,32,19,daf827f87f37ed03562b4c623d7468c531662e534aacbaec6068115e868dee20,/home/wanglin/kvbench-3090-cu126/results/real/pipeline02_unbounded/pilot/points/r01_tq4_math_500_apc0_C8/attempt001/requests.jsonl,successful measured requests,nearest-rank; censored length-cap samples retained,32,33.041829249006696,33.95958028919995,35.41721266694367,35.41782093606889,35.41782093606889,32,179.9688344472088,173.89464750885963,268.94742995500565,271.06604911386967,271.06604911386967,32,16.691392404181286,16.83460284364794,17.180524578087784,17.180550090957688,17.180550090957688,32,85.125,66.0,202.0,338.0,338.0,32,1966.75,2048.0,2048.0,2048.0,2048.0,True,0.0,0.0,0.0,0.0,0.0,vLLM log lines; no client-side prompt-similarity or ratio estimate,73,"measured EvalScope CLI window; includes client setup/report, excludes explicit warmup",21051.0,21032.04109589041,100.0,93.38356164383562,64.0,60.41095890410959,349.72,335.7445205479452,1905.0,1823.835616438356,9501.0,9501.0,0.0676470588235294,0.0,8.0,261248,12.34,GiB,,0.0,False,/home/wanglin/kvbench-3090-cu126/results/real/pipeline02_unbounded/pilot/servers/1789871076582292651_2_tq4,/home/wanglin/kvbench-3090-cu126/results/real/pipeline02_unbounded/pilot/points/r01_tq4_math_500_apc0_C8/attempt001/native_prefix_stats.json,/home/wanglin/kvbench-3090-cu126/results/real/pipeline02_unbounded/pilot/points/r01_tq4_math_500_apc0_C8/attempt001/server_capacity.json,/home/wanglin/kvbench-3090-cu126/results/real/pipeline02_unbounded/pilot/points/r01_tq4_math_500_apc0_C8/attempt001/measure.manifest.json,,False
