id,repeat,method,dataset,apc,concurrency,number,max_tokens,request_max_tokens,max_tokens_transport,output_limit_policy,kv_dtype,kv_cache_memory_bytes_requested,kv_pool_budget_source,gpu_memory_utilization_requested,block_size,max_model_len,max_num_seqs,max_num_batched_tokens,enable_prefix_caching,cache_start_protocol,evalscope_random_prefix_length,independent_prefix_cache_bytes,prefix_capacity_control,input_variant,shared_prefix_file,shared_prefix_sha256,thinking,temperature,top_p,top_k,seed_base,ignore_eos,min_tokens,stop,eager,status,attempt_path,error,requests_expected,requests_recorded,succeeded,failed,unmatched_rows,duplicate_rows,request_window_s,rps,output_tok_s,length_capped,length_capped_fraction,length_limit_terminations,length_limit_fraction,natural_stops,missing_finish_reason,token_usage_missing,missing_final_answer,request_multiset_sha256,outputs_jsonl,latency_population,quantile_method,e2e_s_n,e2e_s_avg,e2e_s_p50,e2e_s_p95,e2e_s_p99,e2e_s_max,ttft_ms_n,ttft_ms_avg,ttft_ms_p50,ttft_ms_p95,ttft_ms_p99,ttft_ms_max,tpot_ms_n,tpot_ms_avg,tpot_ms_p50,tpot_ms_p95,tpot_ms_p99,tpot_ms_max,input_tokens_n,input_tokens_avg,input_tokens_p50,input_tokens_p95,input_tokens_p99,input_tokens_max,output_tokens_n,output_tokens_avg,output_tokens_p50,output_tokens_p95,output_tokens_p99,output_tokens_max,measurement_complete,native_prefix_queries_before,native_prefix_hits_before,native_prefix_queries_after,native_prefix_hits_after,preemptions_delta,prefix_hit_ratio_source,telemetry_samples,telemetry_scope,sampled_memory_used_mib_max,sampled_memory_used_mib_avg,sampled_gpu_util_pct_max,sampled_gpu_util_pct_avg,sampled_temperature_c_max,sampled_temperature_c_avg,sampled_power_w_max,sampled_power_w_avg,sampled_sm_clock_mhz_max,sampled_sm_clock_mhz_avg,sampled_memory_clock_mhz_max,sampled_memory_clock_mhz_avg,sampled_kv_usage_fraction_max,sampled_requests_waiting_max,sampled_requests_running_max,kv_capacity_tokens_single_gpu_log,available_kv_memory_native_value,available_kv_memory_native_unit,num_gpu_blocks_log,prefix_native_last_percent,prefix_native_last_is_run_aggregate,server_folder,native_prefix_stats_path,cache_config_path,request_manifest_path,shared_prefix_tokens_local,pilot_eligible,quality_scoring_complete,quality_total_tasks,quality_scored_tasks,quality_unscored_tasks,quality_correct_tasks,accuracy_all_tasks,humaneval_pass_at_1,known_correct_fraction_lower_bound,quality_metric_note,correct_tasks_per_second
r01_fp16_humaneval_apc0_C8,1,fp16,humaneval,0,8,164,,,json_null_sentinel,server_context_window_only,auto,,gpu_memory_utilization,0.85,128,32768,16,1024,False,APC-off,,,shared_vllm_KV_pool_no_independent_quota,native-evalscope-prompt,,,True,0.6,0.95,20,20260918,False,,,False,ok,/home/wanglin/kvbench-3090-cu126/results/real/full_v7_C8/points/r01_fp16_humaneval_apc0_C8/attempt001,,164,164,164,0,0,0,986.620093896985,0.1662240623462546,476.54310195824075,0,0.0,0,0.0,164,0,164,0,3606bbf40014d87d48507dc3842de2f2e6a27ed43eddb6ab01c863a84cafeaa3,/home/wanglin/kvbench-3090-cu126/results/real/full_v7_C8/points/r01_fp16_humaneval_apc0_C8/attempt001/requests.jsonl,successful measured requests,nearest-rank; censored length-cap samples retained,164,47.03684367406432,33.143283415585756,143.59462836757302,248.1696097664535,261.02341123484075,164,121.99197126915905,113.7094683945179,198.11529852449894,228.35038043558598,251.41921266913414,164,16.176425610272467,16.335370425603887,18.023563596913398,19.481421073519517,19.51297551688947,164,168.22560975609755,152.0,308.0,356.0,425.0,164,2866.871951219512,2027.0,8849.0,14717.0,14915.0,True,0.0,0.0,0.0,0.0,0.0,vLLM log lines; no client-side prompt-similarity or ratio estimate,498,"measured EvalScope CLI window; includes client setup/report, excludes explicit warmup",21111.0,21111.0,100.0,98.99598393574297,69.0,67.86746987951807,349.97,346.90989959839357,1905.0,1807.8915662650602,9501.0,9501.0,0.5128571428571429,0.0,8.0,89728,12.34,GiB,,0.0,False,/home/wanglin/kvbench-3090-cu126/results/real/full_v7_C8/servers/1789884643051216355_1_fp16,/home/wanglin/kvbench-3090-cu126/results/real/full_v7_C8/points/r01_fp16_humaneval_apc0_C8/attempt001/native_prefix_stats.json,/home/wanglin/kvbench-3090-cu126/results/real/full_v7_C8/points/r01_fp16_humaneval_apc0_C8/attempt001/server_capacity.json,/home/wanglin/kvbench-3090-cu126/results/real/full_v7_C8/points/r01_fp16_humaneval_apc0_C8/attempt001/measure.manifest.json,,True,True,164,164,0,155,0.9451219512195121,0.9451219512195121,0.9451219512195121,n=1 per task; generated Python executed in Linux namespace/chroot sandbox; grader infrastructure errors remain unknown,0.15710201014432598
r01_fp16_math_500_apc0_C8,1,fp16,math_500,0,8,500,,,json_null_sentinel,server_context_window_only,auto,,gpu_memory_utilization,0.85,128,32768,16,1024,False,APC-off,,,shared_vllm_KV_pool_no_independent_quota,native-evalscope-prompt,,,True,0.6,0.95,20,20260918,False,,,False,ok,/home/wanglin/kvbench-3090-cu126/results/real/full_v7_C8/points/r01_fp16_math_500_apc0_C8/attempt001,,500,500,500,0,0,0,6423.368928199634,0.0778407725897416,407.24065972856744,2,0.004,2,0.004,498,0,500,2,00ae8f8b6068813bf2df96b6d850148257ad9aad5bda195d80333df101f32fa8,/home/wanglin/kvbench-3090-cu126/results/real/full_v7_C8/points/r01_fp16_math_500_apc0_C8/attempt001/requests.jsonl,successful measured requests,nearest-rank; censored length-cap samples retained,500,101.9562811996229,68.5088033284992,289.28677957318723,554.6765305195004,703.187415452674,500,150.9114171564579,142.73380860686302,228.6119069904089,300.441462546587,388.4492162615061,500,19.247620749221735,19.07575936655657,23.051021747709978,24.177438690276954,25.29408263219135,500,94.158,74.0,224.0,365.0,814.0,500,5231.714,3557.0,14966.0,26800.0,32691.0,True,0.0,0.0,0.0,0.0,0.0,vLLM log lines; no client-side prompt-similarity or ratio estimate,3218,"measured EvalScope CLI window; includes client setup/report, excludes explicit warmup",21073.0,21035.35798632691,100.0,99.78464885021752,70.0,68.85612181479179,350.6,348.64952144188936,1905.0,1775.0341827221878,9501.0,9501.0,0.8957142857142857,0.0,8.0,89728,12.34,GiB,,0.0,False,/home/wanglin/kvbench-3090-cu126/results/real/full_v7_C8/servers/1789884643051216355_1_fp16,/home/wanglin/kvbench-3090-cu126/results/real/full_v7_C8/points/r01_fp16_math_500_apc0_C8/attempt001/native_prefix_stats.json,/home/wanglin/kvbench-3090-cu126/results/real/full_v7_C8/points/r01_fp16_math_500_apc0_C8/attempt001/server_capacity.json,/home/wanglin/kvbench-3090-cu126/results/real/full_v7_C8/points/r01_fp16_math_500_apc0_C8/attempt001/measure.manifest.json,,True,True,500,500,0,474,0.948,,0.948,n=1 per task; HTTP success is not accuracy; grader errors remain unknown,0.07379305241507504
r01_kvarn_humaneval_apc0_C8,1,kvarn,humaneval,0,8,164,,,json_null_sentinel,server_context_window_only,kvarn_k4v2_g128,,gpu_memory_utilization,0.85,128,32768,16,1024,False,APC-off,,,shared_vllm_KV_pool_no_independent_quota,native-evalscope-prompt,,,True,0.6,0.95,20,20260918,False,,,False,ok,/home/wanglin/kvbench-3090-cu126/results/real/full_v7_C8/points/r01_kvarn_humaneval_apc0_C8/attempt001,,164,164,164,0,0,0,1724.7271131016314,0.09508750616500346,319.98395329190816,2,0.012195121951219513,2,0.012195121951219513,162,0,164,2,3606bbf40014d87d48507dc3842de2f2e6a27ed43eddb6ab01c863a84cafeaa3,/home/wanglin/kvbench-3090-cu126/results/real/full_v7_C8/points/r01_kvarn_humaneval_apc0_C8/attempt001/requests.jsonl,successful measured requests,nearest-rank; censored length-cap samples retained,164,82.26923154228616,46.88848749361932,236.73245173692703,854.504567110911,903.8797421026975,164,222.56759040784544,202.8331384062767,425.57596042752266,624.6072873473167,626.4303214848042,164,23.7452489660403,22.981707158777116,30.915857221564586,31.742047998215735,32.06861614642048,164,168.22560975609755,152.0,308.0,356.0,425.0,164,3365.1524390243903,2156.0,10072.0,32602.0,32615.0,True,0.0,0.0,0.0,0.0,0.0,vLLM log lines; no client-side prompt-similarity or ratio estimate,867,"measured EvalScope CLI window; includes client setup/report, excludes explicit warmup",21187.0,21187.0,99.0,88.56632064590542,65.0,63.7439446366782,349.53,328.7908419838524,1935.0,1895.2595155709344,9501.0,9501.0,0.2133190883190883,0.0,8.0,359552,10.42,GiB,,0.0,False,/home/wanglin/kvbench-3090-cu126/results/real/full_v7_C8/servers/1789907658649795967_3_kvarn,/home/wanglin/kvbench-3090-cu126/results/real/full_v7_C8/points/r01_kvarn_humaneval_apc0_C8/attempt001/native_prefix_stats.json,/home/wanglin/kvbench-3090-cu126/results/real/full_v7_C8/points/r01_kvarn_humaneval_apc0_C8/attempt001/server_capacity.json,/home/wanglin/kvbench-3090-cu126/results/real/full_v7_C8/points/r01_kvarn_humaneval_apc0_C8/attempt001/measure.manifest.json,,True,True,164,164,0,152,0.926829268292683,0.926829268292683,0.926829268292683,n=1 per task; generated Python executed in Linux namespace/chroot sandbox; grader infrastructure errors remain unknown,0.08812988376268614
r01_kvarn_math_500_apc0_C8,1,kvarn,math_500,0,8,500,,,json_null_sentinel,server_context_window_only,kvarn_k4v2_g128,,gpu_memory_utilization,0.85,128,32768,16,1024,False,APC-off,,,shared_vllm_KV_pool_no_independent_quota,native-evalscope-prompt,,,True,0.6,0.95,20,20260918,False,,,False,ok,/home/wanglin/kvbench-3090-cu126/results/real/full_v7_C8/points/r01_kvarn_math_500_apc0_C8/attempt001,,500,500,500,0,0,0,8426.350530037656,0.05933766916266247,310.983977067981,3,0.006,3,0.006,497,0,500,2,00ae8f8b6068813bf2df96b6d850148257ad9aad5bda195d80333df101f32fa8,/home/wanglin/kvbench-3090-cu126/results/real/full_v7_C8/points/r01_kvarn_math_500_apc0_C8/attempt001/requests.jsonl,successful measured requests,nearest-rank; censored length-cap samples retained,500,134.46628752356395,88.81969767995179,414.7599814850837,701.4084738492966,899.819345658645,500,200.25431098788977,188.58541920781136,302.7439024299383,380.7502593845129,561.6021603345871,500,25.225910588711454,25.039372558949868,30.74090233893004,32.938139170499156,33.81042286517128,500,94.158,74.0,224.0,365.0,814.0,500,5240.92,3483.0,15096.0,25167.0,32671.0,True,0.0,0.0,0.0,0.0,0.0,vLLM log lines; no client-side prompt-similarity or ratio estimate,4220,"measured EvalScope CLI window; includes client setup/report, excludes explicit warmup",21149.0,21122.96777251185,99.0,88.49218009478673,66.0,64.73601895734598,349.92,328.36658530805687,1935.0,1892.3708530805686,9501.0,9501.0,0.23860398860398857,0.0,8.0,359552,10.42,GiB,,0.0,False,/home/wanglin/kvbench-3090-cu126/results/real/full_v7_C8/servers/1789907658649795967_3_kvarn,/home/wanglin/kvbench-3090-cu126/results/real/full_v7_C8/points/r01_kvarn_math_500_apc0_C8/attempt001/native_prefix_stats.json,/home/wanglin/kvbench-3090-cu126/results/real/full_v7_C8/points/r01_kvarn_math_500_apc0_C8/attempt001/server_capacity.json,/home/wanglin/kvbench-3090-cu126/results/real/full_v7_C8/points/r01_kvarn_math_500_apc0_C8/attempt001/measure.manifest.json,,True,True,500,500,0,473,0.946,,0.946,n=1 per task; HTTP success is not accuracy; grader errors remain unknown,0.056133435027878695
r01_tq4_humaneval_apc0_C8,1,tq4,humaneval,0,8,164,,,json_null_sentinel,server_context_window_only,turboquant_4bit_nc,,gpu_memory_utilization,0.85,128,32768,16,1024,False,APC-off,,,shared_vllm_KV_pool_no_independent_quota,native-evalscope-prompt,,,True,0.6,0.95,20,20260918,False,,,False,ok,/home/wanglin/kvbench-3090-cu126/results/real/full_v7_C8/points/r01_tq4_humaneval_apc0_C8/attempt001,,164,164,164,0,0,0,3610.554542740807,0.045422385414376265,174.6039264986271,5,0.03048780487804878,5,0.03048780487804878,159,0,164,5,3606bbf40014d87d48507dc3842de2f2e6a27ed43eddb6ab01c863a84cafeaa3,/home/wanglin/kvbench-3090-cu126/results/real/full_v7_C8/points/r01_tq4_humaneval_apc0_C8/attempt001/requests.jsonl,successful measured requests,nearest-rank; censored length-cap samples retained,164,144.1464311541853,68.5737522803247,558.4824029561132,1395.7789553813636,1445.3585739005357,164,155.4998835980347,143.89563724398613,287.9622485488653,317.91602075099945,363.67684602737427,164,35.29559032766247,35.141521327528345,52.029572802290424,59.340244099583664,59.89334441330662,164,168.22560975609755,152.0,308.0,356.0,425.0,164,3844.006097560976,2022.0,11940.0,32575.0,32602.0,True,0.0,0.0,0.0,0.0,0.0,vLLM log lines; no client-side prompt-similarity or ratio estimate,1810,"measured EvalScope CLI window; includes client setup/report, excludes explicit warmup",21095.0,21095.0,100.0,99.72375690607734,70.0,68.26408839779006,350.18,346.0155027624309,1905.0,1789.7651933701657,9501.0,9501.0,0.3529411764705882,0.0,8.0,261248,12.34,GiB,,0.0,False,/home/wanglin/kvbench-3090-cu126/results/real/full_v7_C8/servers/1789892380540163387_2_tq4,/home/wanglin/kvbench-3090-cu126/results/real/full_v7_C8/points/r01_tq4_humaneval_apc0_C8/attempt001/native_prefix_stats.json,/home/wanglin/kvbench-3090-cu126/results/real/full_v7_C8/points/r01_tq4_humaneval_apc0_C8/attempt001/server_capacity.json,/home/wanglin/kvbench-3090-cu126/results/real/full_v7_C8/points/r01_tq4_humaneval_apc0_C8/attempt001/measure.manifest.json,,True,True,164,164,0,149,0.9085365853658537,0.9085365853658537,0.9085365853658537,n=1 per task; generated Python executed in Linux namespace/chroot sandbox; grader infrastructure errors remain unknown,0.04126789894354917
r01_tq4_math_500_apc0_C8,1,tq4,math_500,0,8,500,,,json_null_sentinel,server_context_window_only,turboquant_4bit_nc,,gpu_memory_utilization,0.85,128,32768,16,1024,False,APC-off,,,shared_vllm_KV_pool_no_independent_quota,native-evalscope-prompt,,,True,0.6,0.95,20,20260918,False,,,False,ok,/home/wanglin/kvbench-3090-cu126/results/real/full_v7_C8/points/r01_tq4_math_500_apc0_C8/attempt001,,500,500,500,0,0,0,11292.188284546137,0.044278397366458395,232.55598771709185,0,0.0,0,0.0,500,0,500,0,00ae8f8b6068813bf2df96b6d850148257ad9aad5bda195d80333df101f32fa8,/home/wanglin/kvbench-3090-cu126/results/real/full_v7_C8/points/r01_tq4_math_500_apc0_C8/attempt001/requests.jsonl,successful measured requests,nearest-rank; censored length-cap samples retained,500,180.086012492463,118.25165542773902,569.7984535787255,847.135330632329,1224.9859273117036,500,161.58171232789755,153.8973357528448,235.12567952275276,295.5341003835201,340.77168069779873,500,33.67130202530942,33.56469212666035,43.421304284615914,48.81831914532049,50.123609788976715,500,94.158,74.0,224.0,365.0,814.0,500,5252.132,3562.0,15455.0,24229.0,31883.0,True,0.0,0.0,0.0,0.0,0.0,vLLM log lines; no client-side prompt-similarity or ratio estimate,5652,"measured EvalScope CLI window; includes client setup/report, excludes explicit warmup",21057.0,21031.808917197453,100.0,99.86783439490446,70.0,68.7137296532201,350.45,346.2919108280255,1905.0,1773.8508492569001,9501.0,9501.0,0.2833333333333333,0.0,8.0,261248,12.34,GiB,,0.0,False,/home/wanglin/kvbench-3090-cu126/results/real/full_v7_C8/servers/1789892380540163387_2_tq4,/home/wanglin/kvbench-3090-cu126/results/real/full_v7_C8/points/r01_tq4_math_500_apc0_C8/attempt001/native_prefix_stats.json,/home/wanglin/kvbench-3090-cu126/results/real/full_v7_C8/points/r01_tq4_math_500_apc0_C8/attempt001/server_capacity.json,/home/wanglin/kvbench-3090-cu126/results/real/full_v7_C8/points/r01_tq4_math_500_apc0_C8/attempt001/measure.manifest.json,,True,True,500,500,0,476,0.952,,0.952,n=1 per task; HTTP success is not accuracy; grader errors remain unknown,0.04215303429286839
